Type,Number of Input Features (nin),Convolution Padding Size (p),Convolution Kernel Size (k),Convolution Stride Size (s),Number of Output Features (nout),Jump In (jin),Receptive Field (rin),Jump Out (jout),Receptive Field Out (rout)
,,,,,224,,,,1
convolution,224,3,7,2,112,1,1,2,7
max pool,112,1,3,2,56,2,7,4,11
convolution,56,1,3,1,56,4,11,4,19
max pool,56,1,3,2,28,4,19,8,27
inception (3a),28,2,5,1,28,8,27,8,59
inception (3b),28,2,5,1,28,8,59,8,91
max pool,28,1,3,2,14,8,91,16,107
inception (4a),14,2,5,1,14,16,107,16,171
inception (4b),14,2,5,1,14,16,171,16,235
inception (4c),14,2,5,1,14,16,235,16,299
inception (4d),14,2,5,1,14,16,299,16,363
inception (4e),14,2,5,1,14,16,363,16,427
max pool,14,1,3,2,7,16,427,32,459
inception (5a),7,2,5,1,7,32,459,32,587
inception (5b),7,2,5,1,7,32,587,32,715
avg pool,7,0,7,1,1,32,715,32,907
dropout (40%),,,,,,,,,
linear,,,,,,,,,
softmax,,,,,,,,,